id,created_at,favorite_count,retweet_count,text
1466041363489767436,2021-12-01 13:47:53,534,78,"This year, our nation marked a solemn milestone: forty years of HIV/AIDS, which has inflicted nearly unparalleled pain and devastation on our world. Yet, out of this darkness &amp; despair, and moved by the powerful voices of advocates and survivors, we have forged healing and hope."
1466041361786884099,2021-12-01 13:47:53,1549,355,"Every #WorldAIDSDay, the world comes together to remember the unimaginable toll that AIDS has taken. We also honor all those living with HIV or AIDS, who are fighting stigma and discrimination while raising their voices and inspiring our work to achieve an AIDS-free generation. https://t.co/qW9ICQxeY0"
1465310340804186121,2021-11-29 13:23:04,1428,191,"May it be a comfort to Congresswoman Meek’s children, her grandchildren and great-grandchildren and all her loved ones to know that so many across Florida and the nation mourn their loss and pray for them at this sad time. Read my full statement here: https://t.co/zEwGg5XGe9"
1465310339751419915,2021-11-29 13:23:03,1489,161,"It was a great honor to know, serve with and share a friendship with Congresswoman Meek. She was formidable in meeting the needs of her community, including by advocating for Haitian immigrants and refugees and creating economic opportunities for working families in her district."
1465310337591296007,2021-11-29 13:23:03,7847,1123,"Today, with great sadness over her passing, the Congress and Country mourn the loss and celebrate the life of former Congresswoman Carrie Meek: a remarkable, trailblazing leader who helped expand opportunity in America. She not only made history but made progress for our nation."
1465075315135422464,2021-11-28 21:49:09,5342,586,"From my family to yours, we wish you and your loved ones a Happy #Hanukkah! https://t.co/pQEpIc12rG"
1463976110467780613,2021-11-25 21:01:18,2289,268,"In a spirit of gratitude, let us thank God for blessing America with the greatness of the vision of our Founders and the courage of our men and women in uniform and their families.  Best wishes for a happy and healthy #HappyThanksgiving!"
1463976107477291016,2021-11-25 21:01:18,6188,716,"Thanksgiving is an all-American holiday, when we recognize the many blessings that have been bestowed upon our nation.  This Thanksgiving, we have much to be grateful for, especially the vaccine and with it, the ability to gather in-person with loved ones. https://t.co/M0d8MnEYT8"
1463698320740818947,2021-11-25 2:37:28,9624,925,"So sorry to hear of your loss, @SenSchumer. Your father lived the American Dream: a World War II veteran, a hard-working entrepreneur, a proud father &amp; a loving grandfather &amp; great grandfather. May it be a comfort that so many join you &amp; your family in mourning at this sad time. https://t.co/vdfU6TX7t0"
1463574840112201739,2021-11-24 18:26:48,2004,472,"Thanks to @POTUS and @HouseDemocrats, jobless claims just hit a fifty-year low. 
 
With #BuildBackBetter, Democrats are going to continue to create more good-paying jobs, cut taxes for the middle class, and lower families’ every day expenses.
https://t.co/ge9JfXTi8O"
1463536808663433225,2021-11-24 15:55:41,1011,133,"In previous years, pre-pandemic, my family and I have had the honor of volunteering alongside this extraordinary team as they ensured that all have hot food &amp; good company. #HopeServedDaily"
1463536807388274690,2021-11-24 15:55:40,2672,412,"Each Thanksgiving, and indeed every day, @stanthonysf serves thousands of warm meals to San Franciscans experiencing homelessness &amp; hardship."
1463334742003179522,2021-11-24 2:32:44,997,164,The bipartisan Infrastructure Investment and Jobs Act provides job-creating infrastructure investments for the Bay Area and millions of Americans nationwide. https://t.co/jip9c7mDKK
1463334733392326656,2021-11-24 2:32:42,1426,226,"Today, I joined @RepAnnaEshoo, @RepBarbaraLee, @RepSpeier, @RepDeSaulnier, local labor leaders and plumber and pipefitting apprentices to discuss #infrastructure at the United Association Local 38 Joseph P. Mazzola Training Center."
1463253895065616389,2021-11-23 21:11:29,1137,287,"Join @RepAnnaEshoo, @RepBarbaraLee, @RepSpeier, local union leaders and me at an event celebrating the passage of the bipartisan infrastructure law and what it will mean for the San Francisco Bay Area. https://t.co/4QwYtyAHDB"
1462156053643239425,2021-11-20 20:29:03,17369,1956,"Happy birthday, @POTUS! Your leadership continues to help America work together to #BuildBackBetter. https://t.co/jnMS59o9LM"
1462140173815361542,2021-11-20 19:25:57,942,162,"Let us renew our vow to honor the beautiful souls we have lost, ensure our transgender community feels seen, heard and represented – and never relent until every person is free to live freely as their authentic selves. Read my full statement here: https://t.co/izrZ0mNYf1"
